t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
-0.18066831,-0.6872381,126280120000500,1262801200,N3839,60.0
-1.3920527,-0.8789766,171230130100280,1712301301,T77908,90.0
-1.3920527,-0.8789766,171230130100280,1712301301,T77908,90.0
1.4014826,-0.8470679,036220180000400,362201800,T133351,18.0
2.0706728,-0.3612217,013910020001270,139100200,T18586,180.0
-0.20688187,1.4178329,093790030000570,937900300,T134584,12.0
-0.19837558,1.5048932,157060010104410,1570600101,T59882,600.0
1.6039871,-0.8500427,036220180000770,362201800,T133351,18.0
1.7509856,-0.19680202,018010030002590,180100300,T87972,72.0
1.7509856,-0.19680202,018010030002590,180100300,T87972,72.0
-0.37608734,-0.9151628,126280120000670,1262801200,N3839,60.0
0.7143081,0.2095262,013910020000490,139100200,T18586,180.0
0.945182,-1.489476,123130120000330,1231301200,N9842,12.0
0.945182,-1.489476,123130120000330,1231301200,N9842,12.0
0.945182,-1.489476,123130120000330,1231301200,N9842,12.0
1.7212716,-0.65006095,036220180001530,362201800,T133351,18.0
-0.3454394,0.65130776,081130040003950,811300400,T82160,252.0
-1.1947187,-0.7959009,171230130100280,1712301301,T77908,90.0
-1.1947187,-0.7959009,171230130100280,1712301301,T77908,90.0
1.4228537,-1.2679859,168150010000300,1681500100,T167430,48.0
0.23669037,2.0049534,155720010101280,1557200101,T192639,756.0
-1.449566,-0.5060101,171230130100430,1712301301,T77908,90.0
-1.449566,-0.5060101,171230130100430,1712301301,T77908,90.0
1.4266906,-0.9025674,036220180000850,362201800,T133351,18.0
2.013677,-0.86557925,013910020001260,139100200,T18586,180.0
1.3966595,-0.46446174,036220180000210,362201800,T133351,18.0
-0.8464376,-1.057835,171230130100800,1712301301,T77908,90.0
-0.8464376,-1.057835,171230130100800,1712301301,T77908,90.0
-0.1677646,1.0923576,133230130000880,1332301300,N36448,36.0
-0.8955769,-0.24515337,171230130101000,1712301301,T77908,90.0
-0.8955769,-0.24515337,171230130101000,1712301301,T77908,90.0
1.7645549,-0.9089119,036220180001670,362201800,T133351,18.0
-0.01865076,1.2134104,081130040002820,811300400,T82160,252.0
-1.3006403,-0.7720095,171230130100480,1712301301,T77908,90.0
-1.3006403,-0.7720095,171230130100480,1712301301,T77908,90.0
1.9835023,-0.59098077,168150010000450,1681500100,T167430,48.0
0.5171543,0.32256624,086730020001240,867300200,T66029,54.0
-1.1470509,-0.60894287,171230130101080,1712301301,T77908,90.0
-1.1470509,-0.60894287,171230130101080,1712301301,T77908,90.0
0.6136902,0.07143088,060840060003330,608400600,T95727,30.0
-0.5668577,0.0065867766,055030030000010,550300300,T81955,42.0
